"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"Oki Electric Industry Co Ltd","3571","2004-01-26","","Mnf,whl info,telecommun sys","Japan","TESSERA TECHNOLOGIES INC/OKI ELECTRIC INDUSTRY CO LTD-STRATEGIC ALLIANCE","6794","Supranational","Completed/Signed","Strategic Alliance",NA,1470196045,"Japan","Asia"
"ECS Technology(China)Ltd","6799","2004-04-15","","Investment company","China","ECS TECHNOLOGY(CHINA)LTD/TOSHIBA COMPUTER SYSTEMS (SHANGHAI) CO-STRATEGIC~ALLIANCE","5045","China","Completed/Signed","Strategic Alliance",NA,1520336045,"China","Asia"
"Toshiba Computer Systems","3571","2004-04-15","","Mnfr computers","China","ECS TECHNOLOGY(CHINA)LTD/TOSHIBA COMPUTER SYSTEMS (SHANGHAI) CO-STRATEGIC~ALLIANCE","5045","China","Completed/Signed","Strategic Alliance",NA,1520336045,"China","Asia"
"Hitachi Data Systems Corp","7376","2004-06-16","","Pvd information tech svcs","United States","HITACHI DATA SYSTEMS CORP/LENOVOTO-STRATEGIC ALLIANCE","8742","China","Completed/Signed","Strategic Alliance",NA,1580837045,"United States","Americas"
"Lenovoto","3571","2004-06-16","","Mnfr computers","China","HITACHI DATA SYSTEMS CORP/LENOVOTO-STRATEGIC ALLIANCE","8742","China","Completed/Signed","Strategic Alliance",NA,1580837045,"China","Asia"
"Hitachi Data Systems Corp","7376","2004-06-16","","Pvd information tech svcs","United States","HITACHI DATA SYSTEMS CORP/ACER INC-STRATEGIC ALLIANCE","5045","Australia~India~Malaysia~New Zealand~Singapore~Taiwan~Thailand","Completed/Signed","Strategic Alliance",NA,1583179045,"United States","Americas"
"Acer Inc","3577","2004-06-16","","Mnfr,whl computer,mobile phone","Taiwan","HITACHI DATA SYSTEMS CORP/ACER INC-STRATEGIC ALLIANCE","5045","Australia~India~Malaysia~New Zealand~Singapore~Taiwan~Thailand","Completed/Signed","Strategic Alliance",NA,1583179045,"Taiwan","Asia"
"Byte Power(HK)Ltd","3571","2004-07-12","","Mnfr,whl info tech prod","Hong Kong","BYTE POWER(HK)LTD/IFCA MSC BHD-STRATEGIC ALLIANCE","5045","Hong Kong~Macau~China","Completed/Signed","Strategic Alliance",NA,1586282045,"Hong Kong","Asia"
"IFCA MSC Bhd","7372","2004-07-12","","Develop prepackaged software","Malaysia","BYTE POWER(HK)LTD/IFCA MSC BHD-STRATEGIC ALLIANCE","5045","Hong Kong~Macau~China","Completed/Signed","Strategic Alliance",NA,1586282045,"Malaysia","Asia"
"Silicon Graphics Sys(India)","3571","2004-07-20","","Mnfr computers","India","SILICON GRAPHICS INDIA/PCS INDUSTRIES LTD-STRATEGIC ALLIANCE","8742","India","Completed/Signed","Strategic Alliance",NA,1587852045,"India","Asia"
"PCS Industries Ltd","3571","2004-07-20","","Mnfr computers","India","SILICON GRAPHICS INDIA/PCS INDUSTRIES LTD-STRATEGIC ALLIANCE","8742","India","Completed/Signed","Strategic Alliance",NA,1587852045,"India","Asia"
"Linktone Ltd","7389","2004-07-21","","Dvlp wireless content software","China","LINKTONE LTD/VASUNAS PTE LTD-STRATEGIC ALLIANCE","4812","China","Completed/Signed","Strategic Alliance",NA,1588771045,"China","Asia"
"Vasunas Pte Ltd","3571","2004-07-21","","Multi-media company","Singapore","LINKTONE LTD/VASUNAS PTE LTD-STRATEGIC ALLIANCE","4812","China","Completed/Signed","Strategic Alliance",NA,1588771045,"Singapore","Asia"
"Silicon Graphics Sys(India)","3571","2004-08-04","","Mnfr computers","India","SILICON GRAPHICS SYSTEMS(INDIA)PVT LTD/APARA ENTERPRISE SOLUTIONS-STRATEGIC~ALLIANCE","8742","India","Completed/Signed","Strategic Alliance",NA,1592138045,"India","Asia"
"Apara Enterprise Solutions (P)","7372","2004-08-04","","Dvlp entrp storage software","India","SILICON GRAPHICS SYSTEMS(INDIA)PVT LTD/APARA ENTERPRISE SOLUTIONS-STRATEGIC~ALLIANCE","8742","India","Completed/Signed","Strategic Alliance",NA,1592138045,"India","Asia"
"Artificial Life Inc","7372","2004-11-22","","Develop Internet software","Hong Kong","ARTIFICIAL LIFE INC/SUN MICROSYSTEMS PTE LTD-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,1619207045,"Hong Kong","Asia"
"Sun Microsystems Pte Ltd","3571","2004-11-22","","Mnfr,whl computers","Singapore","ARTIFICIAL LIFE INC/SUN MICROSYSTEMS PTE LTD-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,1619207045,"Singapore","Asia"
"Shenzhen Yihua Computer Co Ltd","7373","2005-07-19","","Pvd computer integrated svcs","China","SHENZHEN YIHUA COMPUTER CO LTD/OKI ELECTRIC INDUSTRY CO LTD-STRATEGIC~ALLIANCE","3579","China","Completed/Signed","Strategic Alliance",NA,1709650045,"China","Asia"
"Oki Electric Industry Co Ltd","3571","2005-07-19","","Mnf,whl info,telecommun sys","Japan","SHENZHEN YIHUA COMPUTER CO LTD/OKI ELECTRIC INDUSTRY CO LTD-STRATEGIC~ALLIANCE","3579","China","Completed/Signed","Strategic Alliance",NA,1709650045,"Japan","Asia"
"World Micro Components Inc","5045","2005-08-17","","Whl elec prod","United States","WORLD MICRO COMPONENTS INC/ADVANTECH CO LTD-STRATEGIC ALLIANCE","5045","Supranational","Completed/Signed","Strategic Alliance",NA,1687207045,"United States","Americas"
"Advantech Co Ltd","3571","2005-08-17","","Manufacture,wholesale industrial computers","Taiwan","WORLD MICRO COMPONENTS INC/ADVANTECH CO LTD-STRATEGIC ALLIANCE","5045","Supranational","Completed/Signed","Strategic Alliance",NA,1687207045,"Taiwan","Asia"
"Office Depot Inc","5943","2005-11-03","","Retail,whl office supplies","United States","OFFICE DEPOT INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","5045","United States","Completed/Signed","Strategic Alliance",NA,1709369045,"United States","Americas"
"Lenovo Group Ltd","3571","2005-11-03","","Mnfr,wholesale computer prod","Hong Kong","OFFICE DEPOT INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","5045","United States","Completed/Signed","Strategic Alliance",NA,1709369045,"Hong Kong","Asia"
"American Airlines Inc","4512","2006-02-01","","Passenger airline","United States","AMERICAN AIRLINES INC/LENOVO GROUP LTD(NOW 526250)-STRATEGIC ALLIANCE","7376","Supranational","Completed/Signed","Strategic Alliance",NA,1731838045,"United States","Americas"
"Lenovo Group Ltd","3571","2006-02-01","","Mnfr,wholesale computer prod","Hong Kong","AMERICAN AIRLINES INC/LENOVO GROUP LTD(NOW 526250)-STRATEGIC ALLIANCE","7376","Supranational","Completed/Signed","Strategic Alliance",NA,1731838045,"Hong Kong","Asia"
"FalconStor Software Inc","7372","2006-03-07","","Dvlp Internet software","United States","FALCONSTOR SOFTWARE INC/MITAC INTERNATIONAL CORP-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,1740823045,"United States","Americas"
"MiTAC International Corp","3571","2006-03-07","","Mnfr,whl computer,peripherals","Taiwan","FALCONSTOR SOFTWARE INC/MITAC INTERNATIONAL CORP-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,1740823045,"Taiwan","Asia"
"Lenovo Group Ltd","3571","2006-03-21","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/COCA-COLA CO-STRATEGIC ALLIANCE","8742","China","Completed/Signed","Strategic Alliance",NA,1746024045,"Hong Kong","Asia"
"Coca-Cola Co","2086","2006-03-21","","Soft Drink Manufacturing","United States","LENOVO GROUP LTD/COCA-COLA CO-STRATEGIC ALLIANCE","8742","China","Completed/Signed","Strategic Alliance",NA,1746024045,"United States","Americas"
"Founder Tech Grp Corp Co Ltd","3571","2006-04-12","","Mnfr,whl computers,parts","China","FOUNDER TECHNOLOGY GROUP CORP(DNU)/MICROSOFT CORP-STRATEGIC ALLIANCE","8742","China","Completed/Signed","Strategic Alliance",NA,1752655045,"China","Asia"
"Microsoft Corp","7372","2006-04-12","","Develops and wholesales computer software products","United States","FOUNDER TECHNOLOGY GROUP CORP(DNU)/MICROSOFT CORP-STRATEGIC ALLIANCE","8742","China","Completed/Signed","Strategic Alliance",NA,1752655045,"United States","Americas"
"Sun Media Invest Hldgs Ltd","3571","2006-04-21","","Multi-media co","Hong Kong","SUN MEDIA INVESTMENT HOLDINGS LTD/LUXE TV-STRATEGIC ALLIANCE","7375","China","Completed/Signed","Strategic Alliance",NA,1754450045,"Hong Kong","Asia"
"Luxe TV","4833","2006-04-21","","Own,op television stations","United Kingdom","SUN MEDIA INVESTMENT HOLDINGS LTD/LUXE TV-STRATEGIC ALLIANCE","7375","China","Completed/Signed","Strategic Alliance",NA,1754450045,"United Kingdom","Europe"
"Lenovo Group Ltd","3571","2006-10-30","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/RARITAN COMPUTER INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,1806988045,"Hong Kong","Asia"
"Raritan Americas Inc","3613","2006-10-30","","Mnfr power mgmt equip","United States","LENOVO GROUP LTD/RARITAN COMPUTER INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,1806988045,"United States","Americas"
"Oki Electric Industry Co Ltd","3571","2006-11-16","","Mnf,whl info,telecommun sys","Japan","OKI ELECTRIC INDUSTRY CO LTD/NAUTILUS HYOSUNG CO LTD-STRATEGIC ALLIANCE","3575","Supranational","Completed/Signed","Strategic Alliance",NA,1813932045,"Japan","Asia"
"Nautilus Hyosung Co Ltd","3575","2006-11-16","","Mnfr,whl ATM machs","South Korea","OKI ELECTRIC INDUSTRY CO LTD/NAUTILUS HYOSUNG CO LTD-STRATEGIC ALLIANCE","3575","Supranational","Completed/Signed","Strategic Alliance",NA,1813932045,"South Korea","Asia"
"Access Co Ltd","7372","2006-12-07","","Software Publishers","Japan","ACCESS CO LTD/OKI ELECTRIC INDUSTRY CO LTD-STRATEGIC ALLIANCE","7372","Japan","Completed/Signed","Strategic Alliance",NA,1819119045,"Japan","Asia"
"Oki Electric Industry Co Ltd","3571","2006-12-07","","Mnf,whl info,telecommun sys","Japan","ACCESS CO LTD/OKI ELECTRIC INDUSTRY CO LTD-STRATEGIC ALLIANCE","7372","Japan","Completed/Signed","Strategic Alliance",NA,1819119045,"Japan","Asia"
"Lenovo Group Ltd","3571","2007-03-06","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD(WAS 52631R)/AVAYA INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,1845906045,"Hong Kong","Asia"
"Avaya Inc","4813","2007-03-06","","Pvd Internet telephony svcs","United States","LENOVO GROUP LTD(WAS 52631R)/AVAYA INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,1845906045,"United States","Americas"
"Microsoft Corp","7372","2007-03-13","","Develops and wholesales computer software products","United States","MICROSOFT CORP/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7375","United States","Completed/Signed","Strategic Alliance",NA,1849071045,"United States","Americas"
"Lenovo Group Ltd","3571","2007-03-13","","Mnfr,wholesale computer prod","Hong Kong","MICROSOFT CORP/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7375","United States","Completed/Signed","Strategic Alliance",NA,1849071045,"Hong Kong","Asia"
"Cipherlab Co Ltd","3571","2007-03-28","","Mnfr, design and market AIDC","Taiwan","CIPHERLAB CO LTD /MCL TECHNOLOGIES - STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,1854407045,"Taiwan","Asia"
"MCL Technologies","7373","2007-03-28","","Application Svcs Provider{ASP}","Belgium","CIPHERLAB CO LTD /MCL TECHNOLOGIES - STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,1854407045,"Belgium","Europe"
"Commun Intelligence Corp","7372","2007-04-24","","Develop biometric software","United States","COMMUNICATION INTELLIGENCE CORP/LENOVO GROUP LTD(WAS 52631R)-STRATEGIC~ALLIANCE","8742","United States","Completed/Signed","Strategic Alliance",NA,1861806045,"United States","Americas"
"Lenovo Group Ltd","3571","2007-04-24","","Mnfr,wholesale computer prod","Hong Kong","COMMUNICATION INTELLIGENCE CORP/LENOVO GROUP LTD(WAS 52631R)-STRATEGIC~ALLIANCE","8742","United States","Completed/Signed","Strategic Alliance",NA,1861806045,"Hong Kong","Asia"
"High Tech Computer Corp","3571","2008-01-22","","Mnfr computers,mobile tele","Taiwan","HIGH TECH COMPUTER CORP/PARROT SA-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,1946605045,"Taiwan","Asia"
"Parrot SA","3669","2008-01-22","","Other Communications Equipment Manufacturing","France","HIGH TECH COMPUTER CORP/PARROT SA-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,1946605045,"France","Europe"
"Oki Electric Industry Co Ltd","3571","2008-02-07","","Mnf,whl info,telecommun sys","Japan","OKI ELECTRIC INDUSTRY CO LTD/ALCATEL LUCENT SA-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,1950979045,"Japan","Asia"
"Alcatel Lucent SA","3669","2008-02-07","","Manufacture communication equipment","France","OKI ELECTRIC INDUSTRY CO LTD/ALCATEL LUCENT SA-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,1950979045,"France","Europe"
"Quanta Computer Inc","3571","2008-02-27","","Mnfr electn computers","Taiwan","QUANTA COMPUTER INC/CALL AMANGEMENT PRODUCTS INC-STRATEGIC ALLIANCE","5065","United States","Completed/Signed","Strategic Alliance",NA,1956151045,"Taiwan","Asia"
"Call Management Products Inc","5045","2008-02-27","","Whl telecom prods","United States","QUANTA COMPUTER INC/CALL AMANGEMENT PRODUCTS INC-STRATEGIC ALLIANCE","5065","United States","Completed/Signed","Strategic Alliance",NA,1956151045,"United States","Americas"
"Acer Inc","3577","2008-04-15","","Mnfr,whl computer,mobile phone","Taiwan","ACER INC/SYNNEX TECHNOLOGY INTERNATIONAL CORP-STRATEGIC ALLIANCE","5045","China","Completed/Signed","Strategic Alliance",NA,1969638045,"Taiwan","Asia"
"Synnex Tech Intl Corp","5045","2008-04-15","","Whl computers,peripherals","Taiwan","ACER INC/SYNNEX TECHNOLOGY INTERNATIONAL CORP-STRATEGIC ALLIANCE","5045","China","Completed/Signed","Strategic Alliance",NA,1969638045,"Taiwan","Asia"
"STINOVA Ltd","7319","2009-11-11","","Pvd sales,mktg svcs","Germany","STINOVA LTD/LANNER ELECTRONICS INC- STRATEGIC ALLIANCE","7319","Supranational","Completed/Signed","Strategic Alliance",NA,2156177045,"Germany","Europe"
"Lanner Electronics Inc","3571","2009-11-11","","Mnfr,whl computers,peripherals","Taiwan","STINOVA LTD/LANNER ELECTRONICS INC- STRATEGIC ALLIANCE","7319","Supranational","Completed/Signed","Strategic Alliance",NA,2156177045,"Taiwan","Asia"
"Acer Inc","3577","2010-05-27","","Mnfr,whl computer,mobile phone","Taiwan","ACER INC/FOUNDER GROUP-STRATEGIC ALLIANCE","3571","China","Completed/Signed","Strategic Alliance",NA,2440524045,"Taiwan","Asia"
"Founder Group Corp","3571","2010-05-27","","Mnfr,whl electronic computers","China","ACER INC/FOUNDER GROUP-STRATEGIC ALLIANCE","3571","China","Completed/Signed","Strategic Alliance",NA,2440524045,"China","Asia"
"HTC Corp","3571","2011-05-12","","Manufacture computers,mobile telephones","Taiwan","HTC CORP /VODAFONE GROUP PLC- STRATEGIC ALLIANCE","5045","Turkey","Completed/Signed","Strategic Alliance",NA,2309185045,"Taiwan","Asia"
"Vodafone Group Plc","4899","2011-05-12","","Provide wireless telecommunication services","United Kingdom","HTC CORP /VODAFONE GROUP PLC- STRATEGIC ALLIANCE","5045","Turkey","Completed/Signed","Strategic Alliance",NA,2309185045,"United Kingdom","Europe"
"Crossroads Sys Inc","7372","2012-02-21","","Develop software","United States","CROSSROADS SYSTEMS INC/FUJITSU FRONTECH LTD-STRATEGIC ALLIANCE","5112","","Completed/Signed","Strategic Alliance",NA,2426773045,"United States","Americas"
"Fujitsu Frontech Ltd","3571","2012-02-21","","Mnfr,wholesale mini computers","Japan","CROSSROADS SYSTEMS INC/FUJITSU FRONTECH LTD-STRATEGIC ALLIANCE","5112","","Completed/Signed","Strategic Alliance",NA,2426773045,"Japan","Asia"
"Lenovo Group Ltd","3571","2012-08-01","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/EMC CORP-STRATEGIC ALLIANCE","3572","China","Completed/Signed","Strategic Alliance",NA,2438760045,"Hong Kong","Asia"
"EMC Corp","3572","2012-08-01","","Mnfr storage platforms","United States","LENOVO GROUP LTD/EMC CORP-STRATEGIC ALLIANCE","3572","China","Completed/Signed","Strategic Alliance",NA,2438760045,"United States","Americas"
"Advantech Co Ltd","3571","2012-09-07","","Manufacture,wholesale industrial computers","Taiwan","ADVANTECH CO LTD/EINFOCHIPS LTD/TEXAS INSTRUMENTS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2448529045,"Taiwan","Asia"
"eInfochips Ltd","7376","2012-09-07","","Pvd info tech svcs","India","ADVANTECH CO LTD/EINFOCHIPS LTD/TEXAS INSTRUMENTS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2448529045,"India","Asia"
"Texas Instruments Inc","3674","2012-09-07","","Manufacturer,wholesale semiconductors","United States","ADVANTECH CO LTD/EINFOCHIPS LTD/TEXAS INSTRUMENTS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2448529045,"United States","Americas"
"Extreme Networks Inc","7372","2013-07-17","","Develops Ethernet solutions","United States","EXTREME NETWORKS INC/LENOVO GROUP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2585411045,"United States","Americas"
"Lenovo Group Ltd","3571","2013-07-17","","Mnfr,wholesale computer prod","Hong Kong","EXTREME NETWORKS INC/LENOVO GROUP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2585411045,"Hong Kong","Asia"
"Virgin Mobile USA Inc","4812","2013-11-18","","Pvd wireless commun svcs","United States","VIRGIN MOBILE USA INC/HTC CORP -STRATEGIC ALLIANCE","3669","United States","Completed/Signed","Strategic Alliance",NA,2623002045,"United States","Americas"
"HTC Corp","3571","2013-11-18","","Manufacture computers,mobile telephones","Taiwan","VIRGIN MOBILE USA INC/HTC CORP -STRATEGIC ALLIANCE","3669","United States","Completed/Signed","Strategic Alliance",NA,2623002045,"Taiwan","Asia"
"HTC Corp","3571","2014-02-07","","Manufacture computers,mobile telephones","Taiwan","HTC CORP/NOKIA OYJ-STRATEGIC ALLIANCE","6794","Taiwan","Completed/Signed","Strategic Alliance",NA,2625892045,"Taiwan","Asia"
"Nokia Oyj","3663","2014-02-07","","Mnfr network infrastructure products","Finland","HTC CORP/NOKIA OYJ-STRATEGIC ALLIANCE","6794","Taiwan","Completed/Signed","Strategic Alliance",NA,2625892045,"Finland","Europe"
"NETGEAR Inc","3661","2014-02-24","","Telephone Apparatus Manufacturing","United States","NETGEAR INC/HTC CORP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2640374045,"United States","Americas"
"HTC Corp","3571","2014-02-24","","Manufacture computers,mobile telephones","Taiwan","NETGEAR INC/HTC CORP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2640374045,"Taiwan","Asia"
"HCL Infosystems Ltd","7373","2014-07-14","","Provide info,system integration services","India","HCL INFOSYSTEMS LTD/LENOVO INDIA PVT LTD-STRATEGIC ALLIANCE","8742","India","Completed/Signed","Strategic Alliance",NA,2793811045,"India","Asia"
"Lenovo India Pvt Ltd","3571","2014-07-14","","Electronic Computer Manufacturing","India","HCL INFOSYSTEMS LTD/LENOVO INDIA PVT LTD-STRATEGIC ALLIANCE","8742","India","Completed/Signed","Strategic Alliance",NA,2793811045,"India","Asia"
"Zenoss Inc","7372","2015-01-15","","Develops intelligent application and service monitoring platform","United States","LENOVO GROUP LTD/ZENOSS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2716840045,"United States","Americas"
"Lenovo Group Ltd","3571","2015-01-15","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/ZENOSS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2716840045,"Hong Kong","Asia"
"Anoto Group AB","3577","2016-07-18","","Other Computer Peripheral Equipment Manufacturing","Sweden","ANOTO GROUP AB/DIGIWORKS(AZTECH SYSTEMS)-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2985839045,"Sweden","Europe"
"Digiworks(Aztech Systems)","3571","2016-07-18","","Multi-media company","Singapore","ANOTO GROUP AB/DIGIWORKS(AZTECH SYSTEMS)-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2985839045,"Singapore","Asia"
"Beyond Media Group Ltd","7372","2016-08-19","","Software Publishers","United Kingdom","BEYOND MEDIA GROUP LTD/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3073520045,"United Kingdom","Europe"
